device_id,phone_number,carrier,device_type,imei
1,2155551023,Verizon,iPhone 14,3.53829E+14
2,2675558841,AT&T,Samsung Galaxy S22,3.56982E+14
3,5705559920,T-Mobile,Google Pixel 7,3.54829E+14
4,4125557712,Verizon,iPhone 13,3.5392E+14
5,6105554432,AT&T,Motorola Edge,3.55829E+14
6,7245551189,T-Mobile,Samsung Galaxy S21,3.5692E+14
7,8785556610,Verizon,iPhone 12,3.53829E+14
8,7175559033,AT&T,Google Pixel 6,3.5492E+14
9,2235554411,T-Mobile,OnePlus 10,3.5592E+14
10,4845552209,Verizon,iPhone 15,3.53829E+14
11,2155557710,AT&T,Samsung Galaxy S23,3.56829E+14
12,2675559933,T-Mobile,Google Pixel 8,3.54829E+14
13,5705554410,Verizon,iPhone 14 Pro,3.53829E+14
14,4125558821,AT&T,Motorola G Power,3.55829E+14
15,6105557721,T-Mobile,Samsung Galaxy A54,3.5692E+14
16,7245553301,Verizon,iPhone 11,3.53829E+14
17,8785554419,AT&T,Google Pixel 5,3.54829E+14
18,7175552201,T-Mobile,OnePlus 9,3.5592E+14
19,2235559932,Verizon,iPhone SE,3.53829E+14
20,4845557719,AT&T,Samsung Galaxy S20,3.56829E+14
21,2155556611,T-Mobile,Google Pixel 7a,3.54829E+14
22,2675553302,Verizon,iPhone 14,3.53829E+14
23,5705551180,AT&T,Motorola Edge+,3.55829E+14
24,4125552203,T-Mobile,Samsung Galaxy S22,3.5692E+14
25,6105559931,Verizon,iPhone 13 Pro,3.53829E+14
26,7245557711,AT&T,Google Pixel 6a,3.54829E+14
27,8785552208,T-Mobile,OnePlus 11,3.5592E+14
28,7175556610,Verizon,iPhone 15 Pro,3.53829E+14
29,2235557712,AT&T,Samsung Galaxy S23 Ultra,3.56829E+14
30,4845551188,T-Mobile,Google Pixel 8 Pro,3.54829E+14
31,2155553309,Verizon,iPhone 12 Mini,3.53829E+14
32,2675557718,AT&T,Motorola Razr,3.55829E+14
33,5705552207,T-Mobile,Samsung Galaxy A14,3.5692E+14
34,4125559930,Verizon,iPhone 14 Plus,3.53829E+14
35,6105556619,AT&T,Google Pixel 7 Pro,3.54829E+14
36,7245551182,T-Mobile,OnePlus Nord N30,3.5592E+14
37,8785557720,Verizon,iPhone 13 Mini,3.53829E+14
38,7175554418,AT&T,Samsung Galaxy S21 FE,3.56829E+14
39,2235551187,T-Mobile,Google Pixel 5a,3.54829E+14
40,4845553301,Verizon,iPhone 11 Pro,3.53829E+14
41,2155551184,AT&T,Motorola G Stylus,3.55829E+14
42,2675554417,T-Mobile,Samsung Galaxy S10,3.5692E+14
43,5705557722,Verizon,iPhone XR,3.53829E+14
44,4125551183,AT&T,Google Pixel 4a,3.54829E+14
45,6105552202,T-Mobile,OnePlus 8T,3.5592E+14
46,7245559934,Verizon,iPhone 12 Pro,3.53829E+14
47,8785551181,AT&T,Samsung Galaxy S9,3.56829E+14
48,7175557720,T-Mobile,Google Pixel 3a,3.54829E+14
49,2235553308,Verizon,iPhone 14 Pro Max,3.53829E+14
50,4845559933,AT&T,Motorola Edge 2023,3.55829E+14
51,2155552204,T-Mobile,Samsung Galaxy S23+,3.5692E+14
52,2675551186,Verizon,iPhone 15 Plus,3.53829E+14
53,5705553305,AT&T,Google Pixel Fold,3.54829E+14
54,4125556618,T-Mobile,OnePlus 12,3.5592E+14
55,6105551183,Verizon,iPhone 13 Pro Max,3.53829E+14
56,7245552206,AT&T,Samsung Galaxy Z Flip,3.56829E+14
57,8785559931,T-Mobile,Google Pixel 6 Pro,3.54829E+14
58,7175551182,Verizon,iPhone 12 Pro Max,3.53829E+14
59,2235556617,AT&T,Motorola Moto G 5G,3.55829E+14
60,4845552205,T-Mobile,Samsung Galaxy A53,3.5692E+14
61,2155557723,Verizon,iPhone 14,3.53829E+14
62,2675552209,AT&T,Google Pixel 7,3.54829E+14
63,5705556612,T-Mobile,OnePlus 10 Pro,3.5592E+14
64,4125553304,Verizon,iPhone 15,3.53829E+14
65,6105559930,AT&T,Samsung Galaxy S22+,3.56829E+14
66,7245556613,T-Mobile,Google Pixel 8,3.54829E+14
67,8785553307,Verizon,iPhone 13,3.53829E+14
68,7175559934,AT&T,Motorola G Play,3.55829E+14
69,2235559931,T-Mobile,Samsung Galaxy S21,3.5692E+14
70,4845556610,Verizon,iPhone 12,3.53829E+14
71,2155556614,AT&T,Google Pixel 6,3.54829E+14
72,2675559930,T-Mobile,OnePlus 9 Pro,3.5592E+14
73,5705559933,Verizon,iPhone 11,3.53829E+14
74,4125557721,AT&T,Samsung Galaxy S20 FE,3.56829E+14
75,6105553303,T-Mobile,Google Pixel 5,3.54829E+14
76,7245559932,Verizon,iPhone SE,3.53829E+14
77,8785556612,AT&T,Motorola Edge,3.55829E+14
78,7175553302,T-Mobile,Samsung Galaxy A34,3.5692E+14
79,2235552203,Verizon,iPhone 14 Pro,3.53829E+14
80,4845559931,AT&T,Google Pixel 7a,3.54829E+14
81,2155559932,T-Mobile,OnePlus 11,3.5592E+14
82,2675556611,Verizon,iPhone 15 Pro,3.53829E+14
83,5705551183,AT&T,Samsung Galaxy S23 Ultra,3.56829E+14
84,4125559935,T-Mobile,Google Pixel 8 Pro,3.54829E+14
85,6105556611,Verizon,iPhone 14 Plus,3.53829E+14
86,7245551181,AT&T,Motorola G Power,3.55829E+14
87,8785557722,T-Mobile,Samsung Galaxy A14,3.5692E+14
88,7175552204,Verizon,iPhone 13 Pro,3.53829E+14
89,2235551181,AT&T,Google Pixel 6a,3.54829E+14
90,4845557721,T-Mobile,OnePlus Nord N30,3.5592E+14
91,2155554410,Verizon,iPhone 12 Mini,3.53829E+14
92,2675557722,AT&T,Samsung Galaxy S10,3.56829E+14
93,5705552201,T-Mobile,Google Pixel 4a,3.54829E+14
94,4125551180,Verizon,iPhone XR,3.53829E+14
95,6105557723,AT&T,Motorola G Stylus,3.55829E+14
96,7245554412,T-Mobile,Samsung Galaxy S21 FE,3.5692E+14
97,8785559935,Verizon,iPhone 11 Pro,3.53829E+14
98,7175557724,AT&T,Google Pixel 5a,3.54829E+14
99,2235554413,T-Mobile,OnePlus 8T,3.5592E+14
100,4845551182,Verizon,iPhone 12 Pro,3.53829E+14
101,2155556620,AT&T,Samsung Galaxy S23,3.56829E+14
102,2675554412,T-Mobile,Google Pixel 7,3.54829E+14
103,5705559936,Verizon,iPhone 14,3.53829E+14
104,4125553308,AT&T,Motorola Edge,3.55829E+14
105,6105551185,T-Mobile,Samsung Galaxy S22,3.5692E+14
106,7245557724,Verizon,iPhone 13,3.53829E+14
107,8785552202,AT&T,Google Pixel 6,3.54829E+14
108,7175554419,T-Mobile,OnePlus 10,3.5592E+14
109,2235557723,Verizon,iPhone 15,3.53829E+14
110,4845553304,AT&T,Samsung Galaxy A54,3.56829E+14
111,2155551187,T-Mobile,Google Pixel 8,3.54829E+14
112,2675557724,Verizon,iPhone 12,3.53829E+14
113,5705552209,AT&T,Motorola G Power,3.55829E+14
114,4125559936,T-Mobile,Samsung Galaxy S21,3.5692E+14
115,6105556614,Verizon,iPhone 14 Pro,3.53829E+14
116,7245551183,AT&T,Google Pixel 7a,3.54829E+14
